tracker_site,manuscript_site,site_short_name,flag_status,dominant_lc,n_rows_read,n_finite_p3d,n_finite_als_chm,n_finite_dep_dtm,n_all_four_valid,n_forest_p90_ge2,n_final_abs_err_le_100
1,1,usda_me,FLAGGED,BDF,2733611,2733600,2377512,1943099,1719377,232214,232214
2,2,nasa_howland,FLAGGED,ENF,11497,11496,6300,4235,1552,1542,1542
3,3,neon_sawb,FLAGGED,BDF,13341,13340,9687,13341,9687,6931,6931
4,4,neon_harv2019,ok,BDF,68124,68123,45665,27531,14568,13387,13387
5,5,usda_sc,ok,ENF,1834659,1834648,285440,1676277,257295,212175,212175
6,6,neon_jerc2021,ok,ENF,56160,56160,29765,56160,29765,18941,18941
7,7,neon_tall2021,ok,ENF,29332,29330,18675,26301,18265,18080,18080
8,8,neon_dela2021,ok,IWL,22188,22186,9151,21142,8730,7194,7194
9,9,neon_leno2021,ok,ENF,21511,21510,12176,21511,12176,11520,11520
11,11,neon_konz2020,ok,BDF,46982,46978,34223,46982,34223,12474,12474
12,12,neon_stei2022,ok,BDF,73806,73801,52267,23789,10628,10205,10205
13,13,neon_unde2022,ok,BDF,12544,12544,7978,12544,7978,7648,7648
14,14,neon_steicheq2022,ok,BDF,15101,15098,12074,2204,1281,1234,1234
15,15,neon_wood2021,ok,GRS,83190,83186,50979,83190,50979,1468,1468
17,16,neon_ster2022,ok,GRS,12226,10927,11751,12226,10528,81,81
18,17,neon_cper2021,ok,GRS,31345,31342,25760,31345,25760,70,70
19,18,ltbmu_20180710,ok,ENF,392919,392907,171406,204860,60493,49704,49704
20,19,neon_sjer,ok,GRS,22313,22310,13990,7218,5622,4023,4023
