predictor,est_full,lo_full,hi_full,est_alt,lo_alt,hi_alt,shift,includes_zero_full,includes_zero_alt,status_preserved,cis_overlap_bw_fits
Intercept,-1.05445580682518,-2.9182654825,0.768547802249999,0.422595741905198,-1.4785219825,2.32292643,1.47705154873038,TRUE,TRUE,TRUE,TRUE
wsci_z:lc_l1_codeICP,-0.099926032749385,-2.8221582625,2.282278635,1.3698026762836,-0.89897627725,3.40204078,1.46972870903299,TRUE,TRUE,TRUE,TRUE
rh_98_z,0.0693946083293333,0.04008233215,0.09853796085,0.951040355151667,0.89858789075,1.00376987,0.881645746822333,FALSE,FALSE,TRUE,FALSE
wsci_z:lc_l1_codeCWL,-0.6265266744166,-2.3552980575,0.85975116175,0.0269531312162207,-1.4735273075,1.21806943,0.653479805632821,TRUE,TRUE,TRUE,TRUE
wsci_z:lc_l1_codeMFT,0.975089182031378,-0.51013399525,2.0625674125,0.351787629868493,-1.301450925,1.7285204025,-0.623301552162885,TRUE,TRUE,TRUE,TRUE
wsci_z:lc_l1_codeUNK,0.486691215175465,-1.012994055,1.558390005,0.0214067487052733,-1.436370025,1.2170293925,-0.465284466470192,TRUE,TRUE,TRUE,TRUE
meta_leafon_z,0.179042337571667,0.1539268875,0.204673651,-0.23745941636,-0.274781189,-0.19966522325,-0.416501753931667,FALSE,FALSE,TRUE,FALSE
wsci_z:lc_l1_codeSVG,-0.629389580258775,-1.906490045,0.532369146499999,-0.264480704758201,-1.7593848225,1.00406965,0.364908875500574,TRUE,TRUE,TRUE,TRUE
slope_mean_z:lc_l1_codeSHR,0.151761467579336,-0.1279044825,0.423248992,0.475093227632318,-0.0740704367,0.983118006499999,0.323331760052982,TRUE,TRUE,TRUE,TRUE
wsci_z:lc_l1_codeGRS,-0.232819333338607,-1.6041146575,0.90552483575,-0.530978701583488,-1.9658816125,0.77776053775,-0.298159368244881,TRUE,TRUE,TRUE,TRUE
slope_mean_z:lc_l1_codeDNF,0.08781732081913,-0.182564558,0.352500554,0.381642261480028,-0.14349047425,0.88245676125,0.293824940660898,TRUE,TRUE,TRUE,TRUE
slope_mean_z:lc_l1_codeIWL,0.0613200373097267,-0.210188926,0.330835908,0.31858088578052,-0.20976463975,0.80648248675,0.257260848470793,TRUE,TRUE,TRUE,TRUE
view_az_cos_z,-0.0885173833295,-0.10347585125,-0.073471754075,0.15521925743,0.132214892,0.179005393,0.2437366407595,FALSE,FALSE,TRUE,FALSE
wsci_z:lc_l1_codeEBF,0.989303873977635,-0.4531719175,2.03291897,0.752727171567099,-0.796241839,1.960437045,-0.236576702410536,TRUE,TRUE,TRUE,TRUE
slope_mean_z:lc_l1_codeMFT,0.88216768421885,0.35023606275,1.42571367,0.649222766993562,-0.2153684815,1.460601345,-0.232944917225288,FALSE,TRUE,FALSE,TRUE
slope_mean_z:lc_l1_codeBDF,0.0926631353340052,-0.1794824205,0.35550513875,0.319713008130666,-0.20000741275,0.809929085,0.22704987279666,TRUE,TRUE,TRUE,TRUE
slope_sd_z,0.0565017752735,0.037083153325,0.07579246245,-0.170254947141667,-0.20154889375,-0.1383940345,-0.226756722415167,FALSE,FALSE,TRUE,FALSE
slope_mean_z:lc_l1_codeEBF,0.0219775022221232,-0.2748132455,0.31548152075,0.235108998334293,-0.3287503695,0.768184891,0.21313149611217,TRUE,TRUE,TRUE,TRUE
wsci_z:lc_l1_codeIMP,0.358239633792795,-1.077245825,1.4045799975,0.570844456652743,-1.00120489,1.785653725,0.212604822859948,TRUE,TRUE,TRUE,TRUE
meta_absgeo_z,-0.234109633513333,-0.249255784,-0.2182143445,-0.0295135822204015,-0.052100687075,-0.005992955765,0.204596051292932,FALSE,FALSE,TRUE,FALSE
cover_z,-0.161273993733333,-0.18306544825,-0.1395608305,-0.34883033506,-0.384878522,-0.3130183485,-0.187556341326667,FALSE,FALSE,TRUE,FALSE
slope_mean_z,-0.439112893130323,-0.80842124075,-0.0641205865000002,-0.257007833526428,-0.85020833275,0.372338261499999,0.182105059603895,FALSE,TRUE,FALSE,TRUE
sigma_Intercept,0.838906403048333,0.544873337,1.142762905,0.658884964541667,0.4353971535,0.89047611625,-0.180021438506667,FALSE,FALSE,TRUE,TRUE
wsci_z:lc_l1_codeSHR,-0.0407959170816645,-1.3956053225,1.05590119,-0.216516419117731,-1.8125767425,1.2046278675,-0.175720502036066,TRUE,TRUE,TRUE,TRUE
slope_mean_z:lc_l1_codeGRS,0.0936415748157618,-0.18334286925,0.3620075375,0.267886145782602,-0.259596475,0.7653355655,0.17424457096684,TRUE,TRUE,TRUE,TRUE
wsci_z:lc_l1_codeBDF,0.864897781212965,-0.52417911025,1.8962782,0.703652246838353,-0.79451023375,1.82850933,-0.161245534374612,TRUE,TRUE,TRUE,TRUE
meta_fwdrev_z,-0.0605990116311667,-0.076001900925,-0.045308709575,0.0949347307763333,0.0714406518,0.11810437625,0.1555337424075,FALSE,FALSE,TRUE,FALSE
slope_mean_z:lc_l1_codeCWL,0.687089352399167,0.248555518,1.11863146,0.539175274867402,-0.050590214575,1.1055287225,-0.147914077531765,FALSE,TRUE,FALSE,TRUE
view_az_sin_z,-0.255029765386667,-0.27002027475,-0.24050878975,-0.118016043751,-0.14213915575,-0.0949855396750001,0.137013721635667,FALSE,FALSE,TRUE,FALSE
meta_offnad_z,0.0614211154645,0.032049494275,0.090726171575,0.191841932432667,0.147869611,0.234585774,0.130420816968167,FALSE,FALSE,TRUE,FALSE
slope_mean_z:lc_l1_codeENF,0.171262691422636,-0.0962656156,0.4325060425,0.300794169388495,-0.21425198425,0.780960872,0.129531477965859,TRUE,TRUE,TRUE,TRUE
slope_mean_z:lc_l1_codeWTR,-0.168811928954919,-0.44809237525,0.10765597525,-0.0417856640626417,-0.5842227515,0.455550324,0.127026264892278,TRUE,TRUE,TRUE,TRUE
meta_az_conc_z,0.252252879105,0.23604241525,0.26803438,0.130146922500833,0.105194838,0.15530458475,-0.122105956604167,FALSE,FALSE,TRUE,FALSE
slope_mean_z:lc_l1_codeICP,-1.06250768247297,-3.0470139125,0.903293271749998,-0.944933403208245,-2.717692305,0.959650161749999,0.117574279264722,TRUE,TRUE,TRUE,TRUE
wsci_z:lc_l1_codeDNF,1.09562053382057,-0.35635523875,2.15200422,0.98621441642091,-0.8984772785,2.38337296,-0.109406117399657,TRUE,TRUE,TRUE,TRUE
wsci_z:lc_l1_codeRCP,0.188863900987573,-1.212340565,1.2047141375,0.292002407589352,-1.25971595,1.5840124925,0.103138506601778,TRUE,TRUE,TRUE,TRUE
wsci_z:lc_l1_codeENF,0.172236542658417,-1.27335819,1.3170454025,0.269801727474615,-1.0822261075,1.4233654125,0.0975651848161983,TRUE,TRUE,TRUE,TRUE
slope_mean_z:lc_l1_codeRCP,0.0841741191703051,-0.18824433725,0.35382594,0.176892678017598,-0.359298059,0.6631211345,0.0927185588472932,TRUE,TRUE,TRUE,TRUE
