manuscript_site,site_short_name,b_rh98_uni,corr_errP3D_errDTM,r_full,r_loo,delta_r
4,neon_harv2019,0.276258619190959,-0.924525006395738,-0.477302921033027,-0.39542367447129,0.0818792465617369
16,neon_ster2022,-0.00691683406046367,-0.218988344029153,-0.477302921033027,-0.399254561824701,0.0780483592083259
6,neon_jerc2021,0.102144317202131,0.092558939008936,-0.477302921033027,-0.542401004913765,-0.0650980838807381
17,neon_cper2021,0.0497125845640392,-0.742688805273757,-0.477302921033027,-0.538794426299,-0.0614915052659734
13,neon_unde2022,0.108329888907376,-0.880275979929234,-0.477302921033027,-0.522064646278496,-0.0447617252454686
7,neon_tall2021,0.349003566624557,-0.814371499336851,-0.477302921033027,-0.43726039127223,0.0400425297607968
15,neon_wood2021,0.0263215250441189,-0.347789875903267,-0.477302921033027,-0.444245736188441,0.0330571848445858
19,neon_sjer,0.0494209166813067,-0.624770249275422,-0.477302921033027,-0.505167477458393,-0.0278645564253659
5,usda_sc,0.158598329068416,-0.382546755410304,-0.477302921033027,-0.499349752281924,-0.0220468312488976
11,neon_konz2020,0.124481611799555,-0.74132679822176,-0.477302921033027,-0.4877965111071,-0.0104935900740734
18,ltbmu_20180710,0.114438954597934,-0.663248148490806,-0.477302921033027,-0.484568450785225,-0.00726552975219813
12,neon_stei2022,0.143891367965336,-0.816640981333812,-0.477302921033027,-0.483492322934924,-0.00618940190189732
14,neon_steicheq2022,0.255824328892488,-0.684630760281247,-0.477302921033027,-0.471738948614189,0.00556397241883833
9,neon_leno2021,0.104019502310848,-0.203954236716298,-0.477302921033027,-0.47974045861921,-0.00243753758618304
8,neon_dela2021,0.136583292438797,-0.579224076585065,-0.477302921033027,-0.477247830783926,5.5090249100942e-05
