tracker_site,manuscript_site,site_short_name,flag_status,dominant_lc,n,b_rh98_uni,se_rh98_uni,r2_uni,b_rh98_partial,se_rh98_partial,r2_partial,n_partial,corr_errP3D_errDTM,var_reduction_frac,p3d_rmse,alt_rmse,dtm_rmse
1,1,usda_me,FLAGGED,BDF,232214,0.187138269575037,0.00122854833540267,0.0908436623749975,0.184221242928631,0.00166748318384949,0.119238144381429,232214,-0.305913778745847,-0.291287787898735,5.68536612226398,8.03340755686419,4.22818171412027
2,2,nasa_howland,FLAGGED,ENF,1542,0.121002785225883,0.0125432970431762,0.0569855750191729,0.0717679651102956,0.0171412392006129,0.0817749898287483,1542,-0.170522464879757,-0.398669963528392,6.80306975306478,8.8480013085434,3.16499887466863
3,3,neon_sawb,FLAGGED,BDF,6931,0.0617855070546187,0.0028109202713272,0.065182701274469,0.0718147795254405,0.00372452039327239,0.0804488733405413,6931,0.275879458932032,-0.245176915592507,11.8363331614239,12.936670077042,2.08633957923516
4,4,neon_harv2019,ok,BDF,13387,0.276258619190959,0.00691216771846335,0.106616120340043,0.282900619464136,0.00820939711233052,0.122811208122201,13387,-0.924525006395738,0.854459358023142,9.31984217910546,2.4696404280075,8.11289559768558
5,5,usda_sc,ok,ENF,212175,0.158598329068416,0.00074387537199602,0.176441650426452,0.157257124837055,0.00100969459180683,0.187873683987479,212175,-0.382546755410304,0.0739349283355789,5.21343763995633,4.94105786945808,4.21921217189311
6,6,neon_jerc2021,ok,ENF,18941,0.102144317202131,0.00151606377386037,0.193341882519184,0.107888797378163,0.00170006648074835,0.195686366964071,18941,0.092558939008936,-0.324988533010333,3.71180491621967,4.55186391940649,2.12286967541368
7,7,neon_tall2021,ok,ENF,18080,0.349003566624557,0.00449600388409324,0.249990177142008,0.355506004539464,0.00537493021088114,0.250547762696076,18080,-0.814371499336851,0.655656718263887,7.28542508263491,3.67595127179077,6.05189103185787
8,8,neon_dela2021,ok,IWL,7194,0.136583292438797,0.00303897635542132,0.219274921458512,0.164486873358079,0.0040166213422368,0.231965068434098,7194,-0.579224076585065,0.313584886968927,4.78250006769465,3.1065825353662,3.27085390082203
9,9,neon_leno2021,ok,ENF,11520,0.104019502310848,0.00295621006460339,0.0970600992792841,0.146394821851529,0.003758489036625,0.121912382617622,11520,-0.203954236716298,-0.0996728320590152,5.97322197273449,5.85246772308745,3.0076739014148
11,11,neon_konz2020,ok,BDF,12474,0.124481611799555,0.00281452625834485,0.135578076227231,0.0961254385773485,0.00436339806301717,0.201076578422477,12474,-0.74132679822176,0.537724564561373,3.36218104131195,2.47499121551733,2.01849558222339
12,12,neon_stei2022,ok,BDF,10205,0.143891367965336,0.00440111826006666,0.0948299842916205,0.21520825517645,0.0059275186214615,0.121644306484399,10205,-0.816640981333812,0.648022126445439,4.88122893965172,2.20771381446179,4.23565585122778
13,13,neon_unde2022,ok,BDF,7648,0.108329888907376,0.0068424740044559,0.0317414902014531,0.0822835413371886,0.00972707293852921,0.0590833702648938,7648,-0.880275979929234,0.770545879670511,6.11538477586458,2.1133482280831,5.5008468180372
14,14,neon_steicheq2022,ok,BDF,1234,0.255824328892488,0.00912650985249872,0.389413346564657,0.239597004006378,0.0135778393934999,0.3997674518753,1234,-0.684630760281247,0.393252377688799,9.74062329400335,6.88304791747188,3.73548804484348
15,15,neon_wood2021,ok,GRS,1468,0.0263215250441189,0.00419109113862131,0.0262001407063423,0.0245590871199216,0.00629488411890528,0.0284291490589704,1468,-0.347789875903267,0.119359708605919,2.66567597753371,2.67015458988862,0.653405172910635
17,16,neon_ster2022,ok,GRS,81,-0.00691683406046367,0.0106428262061572,0.00531811702156138,0.0206438778990161,0.0136119153560732,0.14857274466111,81,-0.218988344029153,-0.0565153827625571,0.960734643995333,2.39462078347839,1.58396627138613
18,17,neon_cper2021,ok,GRS,70,0.0497125845640392,0.0116039321515476,0.212540476881697,0.0536303685014461,0.0198841545500442,0.266517577349483,70,-0.742688805273757,0.474777435199485,2.11637181603665,1.53308545358699,0.771041512130544
19,18,ltbmu_20180710,ok,ENF,49704,0.114438954597934,0.00133486345085605,0.128826412902794,0.128896182994884,0.00172853445903477,0.139446193611164,49704,-0.663248148490806,0.254934595631775,3.20339875743996,2.3043708039508,3.10293174397517
20,19,neon_sjer,ok,GRS,4023,0.0494209166813067,0.00304750683177256,0.0613881011316057,0.0336421448245802,0.00416256727272408,0.0738831444660217,4023,-0.624770249275422,0.347229846653079,1.25782730928577,1.3372511145325,0.872817320899649
