covariate,covariate_label,n_18,pearson_r_18,pearson_p_18,spearman_rho_18,spearman_p_18,n_15,pearson_r_15,pearson_p_15,spearman_rho_15,spearman_p_15
meta_abs_geoacc_avg_avg,Abs. geolocation acc.,18,-0.6819658609673,0.00182418446766144,-0.715170278637771,0.000849239553853111,15,-0.699026532994681,0.00373425722375327,-0.714285714285714,0.00277438381763881
cover_avg,Canopy cover (%),18,-0.2406986868772,0.335983301850397,-0.298245614035088,0.229322411766133,15,-0.448994075153764,0.0931777405017952,-0.496428571428571,0.059797413749924
meta_leaf_on_ratio_avg,Leaf-on fraction,18,-0.34911715530441,0.155611425209584,-0.446852425180599,0.0630102910638672,15,-0.431953243235229,0.107864796274648,-0.507142857142857,0.0536636637808059
wsci_avg,WSCI,18,-0.17657135077079,0.483374467262078,-0.273477812177503,0.272172685319487,15,-0.386819443459785,0.154348352346152,-0.453571428571429,0.0894859001430273
slope_mean_avg,Slope mean (deg),18,-0.399854403172961,0.100160143068587,-0.434468524251806,0.0715970112602687,15,-0.377702578952636,0.165140228593677,-0.414285714285714,0.124715442236571
rh_98_avg,GEDI RH98 (m),18,-0.190129993249316,0.449843179803578,-0.195046439628483,0.437986429702167,15,-0.36628778352906,0.179340126796598,-0.364285714285714,0.181910259045814
meta_stereo_ratio_avg,Stereo ratio,18,0.0383058784550431,0.880050491441776,0.12280701754386,0.627346145423968,15,-0.31253191636519,0.256742786334247,-0.189285714285714,0.499263033238545
meta_tot_ct_avg,Total image count,18,-0.0658654760570949,0.795123408797057,-0.174406604747162,0.488838709959337,15,-0.308873139130584,0.262650418964067,-0.378571428571429,0.164090826559221
meta_rel_geoacc_avg_avg,Rel. geolocation acc.,18,0.0931985303402682,0.713005030175578,0.087719298245614,0.729258750733904,15,0.165112661651975,0.55649125012975,0.107142857142857,0.703901001626162
meta_sun_elev_avg_avg,Sun elevation (deg),18,-0.0229383432917808,0.928014068175449,0.0629514963880289,0.80401675666578,15,0.15582139627872,0.57920650515427,0.325,0.237225438237234
meta_off_nadir_avg_avg,Off-nadir angle (deg),18,0.167898602295492,0.505445118454717,0.217750257997936,0.385395964378114,15,0.113737474275403,0.686505510363699,0.0464285714285714,0.869491525545095
meta_az_concentration_avg,Azimuth concentration,18,0.15287683099518,0.544770505547606,0.180598555211558,0.473289266825,15,0.112648374381595,0.689368589364872,0.1,0.722897325279118
meta_rev_ratio_avg,Rev image fraction,18,-0.0325435343345162,0.897997501039156,0.0897832817337461,0.723122782576757,15,0.0402169587356278,0.886840650791005,0.260714285714286,0.347979459862794
meta_fwd_minus_rev_avg,Fwd minus rev fraction,18,0.0325435343345162,0.897997501039156,-0.0897832817337461,0.723122782576758,15,-0.0402169587356277,0.886840650791005,-0.260714285714286,0.347979459862794
meta_fwd_ratio_avg,Fwd image fraction,18,0.0325435343345162,0.897997501039156,-0.0897832817337461,0.723122782576758,15,-0.0402169587356276,0.886840650791006,-0.260714285714286,0.347979459862794
