manuscript_site,tracker_site,site_short_name,flag_status,dominant_lc,n,p3d_mean_bias,p3d_median_bias,p3d_sd,p3d_mae,p3d_rmse,alt_mean_bias,alt_median_bias,alt_sd,alt_mae,alt_rmse,dtm_mean_bias,dtm_sd,dtm_rmse,var_err_p3d,var_err_alt,var_reduction_frac,rmse_reduction_frac,corr_errP3D_errDTM
1,1,usda_me,FLAGGED,BDF,232214,4.34805647979881,4.2249,3.66303843481476,4.64953936024529,5.68536612226398,6.87091005624123,6.76820000000001,4.16248802848217,6.94630978407848,8.03340755686419,2.52285357644242,3.393048779162,4.22818171412027,13.4178505749302,17.3263065872574,-0.291287787898735,-0.412997401417167,-0.305913778745847
2,2,nasa_howland,FLAGGED,ENF,1542,6.11825064850843,6.2467,2.97565275040875,6.18335428015564,6.80306975306478,8.11853573281453,7.9732,3.51916697346488,8.13442457846952,8.8480013085434,2.0002850843061,2.45356505250822,3.16499887466863,8.85450929101515,12.384536187126,-0.398669963528392,-0.300589532329487,-0.170522464879757
3,3,neon_sawb,FLAGGED,BDF,6931,9.81902783148175,9.7726,6.60997571653464,9.91157032174289,11.8363331614239,10.6283247727601,10.4277,7.37590635641281,10.7276228249892,12.936670077042,0.809296941278315,1.92311853539947,2.08633957923516,43.6917789731777,54.4039945785709,-0.245176915592507,-0.0929626515755952,0.275879458932032
4,4,neon_harv2019,ok,BDF,13387,-7.49758293867185,-7.1427,5.53606337628311,7.77667931575409,9.31984217910546,-1.28020614775528,-1.63810000000004,2.11199651076156,1.96883643086577,2.4696404280075,6.21737679091656,5.21203703467394,8.11289559768558,30.6479977062232,4.460529261469,0.854459358023142,0.735012634275687,-0.924525006395738
5,5,usda_sc,ok,ENF,212175,-1.51739173936609,-0.4749,4.98774213299625,3.45081512195122,5.21343763995633,1.17299247130906,1.716,4.79981771663739,3.38676390997997,4.94105786945808,2.69038421067515,3.25017444728198,4.21921217189311,24.877571585266,23.0382501129461,0.0739349283355789,0.0522457137322799,-0.382546755410304
6,6,neon_jerc2021,ok,ENF,18941,0.530123272266512,-0.3135,3.67385051993489,2.72405482815057,3.71180491621967,1.6842813631804,0.678400000000002,4.228901229013,3.29279633071116,4.55186391940649,1.15415809091389,1.78175822375789,2.12286967541368,13.4971776428258,17.8836056047477,-0.324988533010333,-0.226320892974725,0.092558939008936
7,7,neon_tall2021,ok,ENF,18080,-4.38523896017699,-4.58535,5.81798677158861,5.99549966814159,7.28542508263491,-1.36293689712389,-2.07035,3.41403946063889,2.95197413163717,3.67595127179077,3.0223020630531,5.24333824098041,6.05189103185787,33.84897007438,11.6556654387995,0.655656718263887,0.495437640206809,-0.814371499336851
8,8,neon_dela2021,ok,IWL,7194,-3.31021113427857,-3.28155,3.45202340505297,3.91042867667501,4.78250006769465,-1.21340429524604,-1.3345,2.86000735562469,2.29591716708368,3.1065825353662,2.09680683903253,2.51053030933213,3.27085390082203,11.9164655890335,8.17964207422734,0.313584886968927,0.350427079687698,-0.579224076585065
9,9,neon_leno2021,ok,ENF,11520,-3.19589186631944,-3.8706,5.04656979211288,4.98148103298611,5.97322197273449,-2.49949764756944,-3.4965,5.29209987281365,4.75397438368056,5.85246772308745,0.69639421875,2.92606913933114,3.0076739014148,25.4678666666662,28.0063210638342,-0.0996728320590152,0.0202159320712078,-0.203954236716298
11,11,neon_konz2020,ok,BDF,12474,-2.46337015392015,-1.99495,2.28833752571409,2.62072277537278,3.36218104131195,-1.92485727112394,-1.76499999999997,1.5558599108976,2.04551811768478,2.47499121551733,0.538512882796216,1.94541298755009,2.01849558222339,5.2364886315913,2.42070006233829,0.537724564561373,0.263873305718372,-0.74132679822176
12,12,neon_stei2022,ok,BDF,10205,-3.42913238608525,-3.0619,3.47399333034271,3.92314526212641,4.88122893965172,-0.791533914747673,-1.10050000000007,2.06104114567997,1.66546943655071,2.20771381446179,2.63759847133758,3.31435230783015,4.23565585122778,12.0686296592656,4.24789060418582,0.648022126445439,0.547713528343683,-0.816640981333812
