Product,Interaction Type,Land Cover,Code,Est. (m),95% CI,Prob. Dir.
CHM,Slope × Land Cover,Broadleaf Deciduous Forest,BDF,+0.09,"[-0.18, +0.36]",75% positive
CHM,Slope × Land Cover,Deciduous Needleleaf Forest,DNF,+0.09,"[-0.18, +0.35]",74% positive
CHM,Slope × Land Cover,Evergreen Broadleaf Forest,EBF,+0.02,"[-0.27, +0.32]",56% positive
CHM,Slope × Land Cover,Evergreen Needleleaf Forest,ENF,+0.17,"[-0.10, +0.43]",90% positive
CHM,Slope × Land Cover,Grassland,GRS,+0.09,"[-0.18, +0.36]",75% positive
CHM,Slope × Land Cover,Irrigated Cropland,ICP,-1.06,"[-3.05, +0.90]",86% negative
CHM,Slope × Land Cover,Impervious Surface,IMP,+0.25,"[-0.06, +0.55]",94% positive
CHM,Slope × Land Cover,Inland Wetland,IWL,+0.06,"[-0.21, +0.33]",67% positive
CHM,Slope × Land Cover,Rainfed Cropland,RCP,+0.08,"[-0.19, +0.35]",73% positive
CHM,Slope × Land Cover,Shrubland,SHR,+0.15,"[-0.13, +0.42]",86% positive
CHM,Slope × Land Cover,Unknown/Unclassified,UNK,+0.17,"[-0.15, +0.48]",86% positive
CHM,Slope × Land Cover,Water,WTR,-0.17,"[-0.45, +0.11]",88% negative
CHM,WSCI × Land Cover,Broadleaf Deciduous Forest,BDF,+0.86,"[-0.52, +1.90]",92% positive
CHM,WSCI × Land Cover,Coastal Wetland,CWL,-0.63,"[-2.36, +0.86]",80% negative
CHM,WSCI × Land Cover,Deciduous Needleleaf Forest,DNF,+1.10,"[-0.36, +2.15]",96% positive
CHM,WSCI × Land Cover,Evergreen Broadleaf Forest,EBF,+0.99,"[-0.45, +2.03]",95% positive
CHM,WSCI × Land Cover,Evergreen Needleleaf Forest,ENF,+0.17,"[-1.27, +1.32]",61% positive
CHM,WSCI × Land Cover,Grassland,GRS,-0.23,"[-1.60, +0.91]",65% negative
CHM,WSCI × Land Cover,Irrigated Cropland,ICP,-0.10,"[-2.82, +2.28]",53% negative
CHM,WSCI × Land Cover,Impervious Surface,IMP,+0.36,"[-1.08, +1.40]",73% positive
CHM,WSCI × Land Cover,Inland Wetland,IWL,+0.22,"[-1.11, +1.28]",65% positive
CHM,WSCI × Land Cover,Mixed Forest,MFT,+0.98,"[-0.51, +2.06]",94% positive
CHM,WSCI × Land Cover,Rainfed Cropland,RCP,+0.19,"[-1.21, +1.20]",63% positive
CHM,WSCI × Land Cover,Shrubland,SHR,-0.04,"[-1.40, +1.06]",53% negative
CHM,WSCI × Land Cover,Sparse Vegetation,SVG,-0.63,"[-1.91, +0.53]",86% negative
CHM,WSCI × Land Cover,Unknown/Unclassified,UNK,+0.49,"[-1.01, +1.56]",79% positive
CHM,WSCI × Land Cover,Water,WTR,+1.11,"[-0.37, +2.13]",97% positive
DTM,Slope × Land Cover,Broadleaf Deciduous Forest,BDF,+0.20,"[-0.09, +0.49]",92% positive
DTM,Slope × Land Cover,Deciduous Needleleaf Forest,DNF,+0.19,"[-0.11, +0.47]",90% positive
DTM,Slope × Land Cover,Evergreen Broadleaf Forest,EBF,+0.12,"[-0.19, +0.42]",77% positive
DTM,Slope × Land Cover,Evergreen Needleleaf Forest,ENF,+0.05,"[-0.25, +0.33]",62% positive
DTM,Slope × Land Cover,Grassland,GRS,+0.12,"[-0.18, +0.40]",79% positive
DTM,Slope × Land Cover,Irrigated Cropland,ICP,+0.05,"[-1.00, +1.32]",54% positive
DTM,Slope × Land Cover,Impervious Surface,IMP,+0.15,"[-0.15, +0.44]",84% positive
DTM,Slope × Land Cover,Inland Wetland,IWL,+0.07,"[-0.23, +0.36]",69% positive
DTM,Slope × Land Cover,Mixed Forest,MFT,+0.19,"[-0.25, +0.63]",80% positive
DTM,Slope × Land Cover,Rainfed Cropland,RCP,-0.01,"[-0.30, +0.28]",52% negative
DTM,Slope × Land Cover,Shrubland,SHR,+0.18,"[-0.12, +0.47]",89% positive
DTM,Slope × Land Cover,Sparse Vegetation,SVG,+0.06,"[-0.35, +0.47]",62% positive
DTM,Slope × Land Cover,Unknown/Unclassified,UNK,+0.06,"[-0.25, +0.36]",65% positive
DTM,Slope × Land Cover,Water,WTR,-0.11,"[-0.41, +0.18]",76% negative
DTM,Slope × WSCI,-,-,+0.03,"[-0.03, +0.09]",85% positive
DTM,WSCI × Land Cover,Broadleaf Deciduous Forest,BDF,+0.04,"[-1.05, +1.03]",53% positive
DTM,WSCI × Land Cover,Coastal Wetland,CWL,+0.67,"[-0.69, +1.82]",86% positive
DTM,WSCI × Land Cover,Deciduous Needleleaf Forest,DNF,+0.02,"[-1.08, +1.04]",52% positive
DTM,WSCI × Land Cover,Evergreen Broadleaf Forest,EBF,+0.02,"[-1.09, +1.03]",51% positive
DTM,WSCI × Land Cover,Evergreen Needleleaf Forest,ENF,+0.18,"[-0.92, +1.14]",64% positive
DTM,WSCI × Land Cover,Grassland,GRS,-0.07,"[-1.24, +0.96]",55% negative
DTM,WSCI × Land Cover,Irrigated Cropland,ICP,+0.34,"[-0.99, +1.53]",71% positive
DTM,WSCI × Land Cover,Impervious Surface,IMP,+0.01,"[-1.14, +1.13]",50% positive
DTM,WSCI × Land Cover,Inland Wetland,IWL,+0.25,"[-0.86, +1.20]",69% positive
DTM,WSCI × Land Cover,Mixed Forest,MFT,+0.01,"[-1.25, +1.25]",51% positive
DTM,WSCI × Land Cover,Rainfed Cropland,RCP,+0.22,"[-0.85, +1.22]",67% positive
DTM,WSCI × Land Cover,Shrubland,SHR,+0.06,"[-1.03, +1.00]",55% positive
DTM,WSCI × Land Cover,Sparse Vegetation,SVG,+0.06,"[-1.07, +1.04]",54% positive
DTM,WSCI × Land Cover,Unknown/Unclassified,UNK,+0.09,"[-1.16, +1.23]",56% positive
DTM,WSCI × Land Cover,Water,WTR,+0.18,"[-1.04, +1.25]",63% positive
