Site,Site name,Source,Date,"Point density med (IQR), pts/m²","CHM IQR, m","rh_98 med, m","p90 - rh_98, m",n
1,usda_me,USDA FS,2015-02-18,5.4 (3.6-6.7),3.25,12.81,-8.28,"246,400"
2,nasa_howland,NASA,2013-10-21,16.3 (13.7-19.4),4.35,14.72,-7.92,"6,081"
3,neon_sawb,NEON AOP,2014-07-07,1.5 (1.4-1.6),5.01,21.53,-15.68,"4,766"
4,neon_harv2019,NEON AOP,2019-10 (5-6),2.5 (2.4-2.8),4.64,23.51,+0.46,"42,212"
5,usda_sc,USDA FS,2015-04-16,4.3 (2.5-5.4),10.24,19.32,-1.46,"130,366"
6,neon_jerc2021,NEON AOP,2021-10-26,20.7 (10.3-28.0),9.49,19.74,-0.40,"17,505"
7,neon_tall2021,NEON AOP,2021-06 (5-6),8.9 (8.2-9.7),7.95,25.35,+0.31,"18,396"
8,neon_dela2021,NEON AOP,2021-06-07,6.1 (4.9-7.3),12.17,17.38,+1.82,"2,995"
9,neon_leno2021,NEON AOP,2021-06 (9-13),8.8 (7.6-9.6),11.86,18.02,+0.95,"7,856"
10,neon_clbj2022,NEON AOP,2022-06-20,10.8 (9.7-11.7),3.80,9.85,+0.25,"7,705"
11,neon_konz2020,NEON AOP,2020-08 (16-17),4.8 (4.2-5.5),7.76,9.88,+1.99,"6,311"
12,neon_stei2022,NEON AOP,2022-07 (8-10),7.1 (6.2-8.0),7.86,15.95,+2.79,"43,709"
13,neon_unde2022,NEON AOP,2022-07-23,6.5 (5.7-7.1),5.88,19.54,+1.09,"7,070"
14,neon_steicheq2022,NEON AOP,2022-07-20,6.8 (6.1-7.5),7.24,17.75,+2.59,"10,552"
15,neon_wood2021,NEON AOP,2021-07-21,3.3 (3.0-3.6),6.22,3.85,-0.33,729
16,neon_ster2022,NEON AOP,2022-08-19,3.4 (3.1-3.7),-,-,-,10
17,neon_cper2021,NEON AOP,2021-06-24 to 07-05,3.6 (3.3-4.0),-,-,-,7
18,ltbmu_20180710,USDA FS,2018-07-10,10.7 (8.7-12.4),11.11,19.90,-1.60,"142,917"
19,neon_sjer,NEON AOP,2013-08-23,1.8 (1.6-2.1),6.13,10.48,-0.68,"1,450"
