Predictor,CHM r,CHM r²,CHM p,DTM r,DTM r²,DTM p
Slope (mean),-0.20,0.039,0.481,-0.03,0.001,0.919
Slope variability (SD),-,-,-,-0.09,0.009,0.712
Aspect (sin),-,-,-,-0.10,0.009,0.701
Aspect (cos),-,-,-,+0.29,0.082,0.250
WSCI,-0.58,0.341,0.022*,+0.25,0.060,0.327
RH98 (canopy height),-0.58,0.340,0.023*,+0.28,0.079,0.259
Canopy cover,-0.71,0.510,0.003*,+0.07,0.005,0.786
Off-nadir angle,+0.45,0.206,0.089,+0.07,0.005,0.781
Sun elevation,-0.29,0.085,0.291,+0.04,0.002,0.875
Azimuth concentration,+0.09,0.007,0.759,-0.07,0.004,0.793
Leaf-on fraction,-0.35,0.126,0.195,+0.06,0.004,0.814
View azimuth (sin),-,-,-,+0.02,0.000,0.950
View azimuth (cos),-,-,-,+0.05,0.002,0.856
Absolute geoaccuracy,-0.60,0.359,0.018*,+0.10,0.009,0.703
Relative geoaccuracy,+0.43,0.186,0.108,-0.03,0.001,0.895
Stereo ratio,+0.35,0.123,0.200,+0.09,0.008,0.717
Fwd/rev look direction,-,-,-,-0.15,0.024,0.540
