Site,Short name,n,RE_CHM 95% CI (m),σ_CHM (m),n,RE_DTM 95% CI (m),σ_DTM (m)
1,usda_me,NA,NA,NA,"76,630","+0.54 [-0.64, +1.60]",1.74
2,nasa_howland,NA,NA,NA,514,"+0.08 [-1.11, +1.12]",1.73
3,neon_sawb,NA,NA,NA,"2,314","-0.92 [-2.10, +0.10]",1.17
4,neon_harv2019,"4,418","-1.46 [-3.56, +0.77]",3.31,"4,439","+3.79 [+2.59, +4.85]",3.49
5,usda_sc,"70,342","+1.56 [+0.46, +2.69]",2.66,"71,065","+0.38 [-0.58, +1.28]",1.77
6,neon_jerc2021,"6,242","+2.09 [+1.00, +3.24]",2.36,"6,255","-0.80 [-1.77, +0.10]",1.04
7,neon_tall2021,"5,966","-2.19 [-3.28, -1.03]",3.94,"5,988","+1.48 [+0.50, +2.39]",3.52
8,neon_dela2021,"2,373","-1.12 [-2.21, +0.03]",2.25,"2,416","+0.06 [-0.90, +0.97]",1.36
9,neon_leno2021,"3,741","-1.70 [-2.78, -0.55]",3.04,"3,753","-1.30 [-2.28, -0.40]",1.67
10,neon_clbj2022,"3,206","+0.99 [-0.32, +2.32]",0.69,NA,NA,NA
11,neon_konz2020,"4,116","-0.24 [-1.54, +1.09]",1.22,"4,137","-0.30 [-1.56, +1.21]",1.05
12,neon_stei2022,"3,368","+0.27 [-1.15, +1.67]",2.05,"3,406","+0.53 [-0.84, +1.69]",1.98
13,neon_unde2022,"2,523","-0.58 [-1.98, +0.81]",2.38,"2,545","+1.64 [+0.27, +2.80]",2.37
14,neon_steicheq2022,407,"-1.36 [-2.83, +0.05]",3.18,413,"+0.16 [-1.21, +1.32]",1.05
15,neon_wood2021,484,"+0.85 [-0.82, +2.39]",0.93,488,"-1.34 [-2.51, +0.08]",0.99
16,neon_ster2022,27,"+0.94 [-0.38, +2.30]",0.67,27,"-2.20 [-3.55, -0.66]",1.18
17,neon_cper2021,23,"+0.62 [-0.72, +1.95]",0.67,23,"-0.54 [-1.88, +1.01]",1.26
18,ltbmu_20180710,"16,402","-0.01 [-1.77, +1.78]",1.32,"16,532","-0.11 [-1.58, +1.38]",1.26
19,neon_sjer,"1,328","+1.23 [-0.60, +2.94]",0.73,"1,333","-1.11 [-2.46, +0.55]",0.81
