Forest Type,N,Mean Bias (m),Median Bias (m),SD (m),NMAD (m),IQR (m),Skew- ness,Kur- tosis,MAE (m),RMSE (m),Q95 (m)
CHM,,,,,,,,,,,
Broadleaf Deciduous (BDF),"44,394",-4.27,-3.28,5.25,4.16,6.20,-0.61,4.47,5.01,6.77,14.20
Deciduous Needleleaf (DNF),"9,035",-4.76,-4.33,4.90,4.77,6.65,-0.14,3.19,5.48,6.83,13.34
Evergreen Broadleaf (EBF),"2,266",-3.42,-2.96,4.19,3.17,4.43,+0.07,5.61,4.19,5.41,11.11
Evergreen Needleleaf (ENF),"193,453",-1.68,-1.25,4.50,3.07,4.16,-0.72,7.07,3.32,4.81,10.53
All Forest Types,"249,148",-2.27,-1.62,4.79,3.33,4.61,-0.71,5.99,3.70,5.30,11.75
DTM,,,,,,,,,,,
Broadleaf Deciduous (BDF),"163,150",+2.70,+1.92,3.78,2.86,4.16,+1.04,2.16,3.31,4.65,10.06
Deciduous Needleleaf (DNF),"44,053",+2.42,+1.71,3.56,2.68,3.91,+0.89,1.81,3.07,4.31,9.42
Evergreen Broadleaf (EBF),"8,667",+2.50,+1.88,3.48,2.69,3.79,+0.95,1.91,3.09,4.29,9.39
Evergreen Needleleaf (ENF),"247,174",+2.34,+1.63,3.29,2.28,3.36,+0.79,6.56,2.79,4.04,8.87
All Forest Types,"463,044",+2.48,+1.74,3.51,2.51,3.68,+0.94,4.08,3.00,4.29,9.40
