Predictor,CHM Est. (m),CHM 95% CI,DTM Est. (m),DTM 95% CI,Sign Reversal
RH98 (canopy height),-0.44,"[-0.48, -0.41]",+0.99,"[+0.97, +1.02]",✓
WSCI,+0.32,"[-0.35, +1.11]",-0.59,"[-1.24, +0.12]",✓
Slope (mean),-0.49,"[-0.89, -0.11]",+0.26,"[-0.14, +0.68]",✓
Leaf-on fraction,+0.22,"[+0.19, +0.24]",-0.42,"[-0.44, -0.40]",✓
View azimuth (cos),+0.01,"[-0.01, +0.02]",+0.23,"[+0.22, +0.24]",
Off-nadir angle,-0.07,"[-0.10, -0.04]",+0.22,"[+0.20, +0.24]",✓
Slope variability (SD),+0.04,"[+0.02, +0.06]",-0.18,"[-0.19, -0.16]",✓
Forward-reverse ratio,-0.03,"[-0.05, -0.02]",+0.16,"[+0.15, +0.17]",✓
Sun elevation,-0.15,"[-0.18, -0.12]",+0.06,"[+0.04, +0.08]",✓
Absolute geoaccuracy,-0.06,"[-0.08, -0.04]",+0.13,"[+0.11, +0.14]",✓
View azimuth (sin),-0.08,"[-0.10, -0.07]",+0.12,"[+0.11, +0.13]",✓
Canopy cover,-0.08,"[-0.11, -0.06]",+0.02,"[+0.00, +0.04]",✓
Stereo ratio,+0.03,"[+0.02, +0.05]",+0.07,"[+0.06, +0.08]",
Aspect (cos),+0.07,"[+0.06, +0.09]",-0.02,"[-0.03, -0.01]",✓
Azimuth concentration,+0.05,"[+0.03, +0.06]",-0.04,"[-0.05, -0.02]",✓
Relative geoaccuracy,0.00,"[-0.03, +0.03]",-0.05,"[-0.07, -0.03]",
Aspect (sin),-0.03,"[-0.05, -0.02]",+0.02,"[+0.01, +0.03]",✓
